,currentmonth,currentyear,section_no,district_no,borough,st_rate_avg,st_count,st_count_accept,st_count_filthy,st_count_rated,sw_rate_avg,sw_count,sw_count_accept,sw_count_filthy,sw_count_rated,SECTION,LINEAR_MILES,linear_miles,street_rating_average,streets_acceptable_cnt,streets_acceptable_miles,streets_filthy_miles,streets_filthy_cnt,sidewalk_rating_avg,sidewalks_acceptable_cnt,sidewalks_acceptable_miles,sidewalks_filthy_miles,sidewalks_filthy_cnt,Borough,District,month
218,,,SI013,,,,,,,,,,,,,SI013,87.87351247,87.874,,,,,,,,,,,,,
219,,,SI014,,,,,,,,,,,,,SI014,118.0317756,118.032,,,,,,,,,,,,,
220,,,SI021,,,,,,,,,,,,,SI021,78.05448791,78.054,,,,,,,,,,,,,
221,,,SI022,,,,,,,,,,,,,SI022,76.40309954,76.403,,,,,,,,,,,,,
222,,,SI023,,,,,,,,,,,,,SI023,94.96260687,94.963,,,,,,,,,,,,,
223,,,SI024,,,,,,,,,,,,,SI024,142.8765094,142.877,,,,,,,,,,,,,
224,,,SI031,,,,,,,,,,,,,SI031,51.63187036,51.632,,,,,,,,,,,,,
225,,,SI032,,,,,,,,,,,,,SI032,39.59003537,39.59,,,,,,,,,,,,,
226,,,SI033,,,,,,,,,,,,,SI033,46.04520345,46.045,,,,,,,,,,,,,
227,,,SI034,,,,,,,,,,,,,SI034,47.43747818,47.437,,,,,,,,,,,,,
228,,,SI035,,,,,,,,,,,,,SI035,65.15635204,65.156,,,,,,,,,,,,,
229,,,SI036,,,,,,,,,,,,,SI036,88.78005092,88.78,,,,,,,,,,,,,
230,,,SI037,,,,,,,,,,,,,SI037,78.59524465,78.595,,,,,,,,,,,,,
231,,,SI038,,,,,,,,,,,,,SI038,47.12675625,47.127,,,,,,,,,,,,,
