,SECTION,MONTH,STREET_RATING_AVG,STREETS_CNT,STREETS_ACCEPTABLE_CNT,STREETS_ACCEPTABLE_MILES,STREETS_FILTHY_MILES,STREETS_FILTHY_CNT,SIDEWALK_RATING_AVG,SIDEWALKS_CNT,SIDEWALKS_ACCEPTABLE_CNT,SIDEWALKS_ACCEPTABLE_MILES,SIDEWALKS_FILTHY_CNT,SIDEWALKS_FILTHY_MILES,LINEAR_MILES
104,BX113,,,,,,,,,,,,,,35.0
105,BX121,,,,,,,,,,,,,,26.0
106,BX122,,,,,,,,,,,,,,28.0
107,BX123,,,,,,,,,,,,,,30.0
108,BX124,,,,,,,,,,,,,,26.0
109,BX125,,,,,,,,,,,,,,45.0
110,MN011,,,,,,,,,,,,,,49.0
111,MN013,,,,,,,,,,,,,,20.0
112,MN021,,,,,,,,,,,,,,24.0
113,MN022,,,,,,,,,,,,,,20.0
114,MN023,,,,,,,,,,,,,,15.0
115,MN031,,,,,,,,,,,,,,32.0
116,MN032,,,,,,,,,,,,,,21.0
117,MN033,,,,,,,,,,,,,,18.0
118,MN034,,,,,,,,,,,,,,18.0
119,MN041,,,,,,,,,,,,,,13.0
120,MN042,,,,,,,,,,,,,,30.0
121,MN043,,,,,,,,,,,,,,25.0
122,MN051,,,,,,,,,,,,,,32.0
123,MN052,,,,,,,,,,,,,,39.0
124,MN061,,,,,,,,,,,,,,25.0
125,MN062,,,,,,,,,,,,,,28.0
126,MN063,,,,,,,,,,,,,,17.0
127,MN071,,,,,,,,,,,,,,23.0
